address,archetype,cluster,is_noise,SIS,C_D,C_B,C_P,deviation_flag,is_suspicious_gt,coinjoin_score,coinjoin_ratio,total_value,tx_count_total,active_days,recency_days,batch_ratio
bc1qf4qwlgytzyn83qna2g0nya2plrzdvg4jzsg0nm,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.125,0.25,0.18600139,16.0,203.7618287037037,572.0,0.08333333333333333
bc1pky4fjfft43mas049y03wfaetdhztnt5e7hvm7vy7mguj22pz8vmqfzrhma,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.16666666666666666,0.3333333333333333,0.5095948,41.0,50.030092592592595,549.0,0.05263157894736842
13bdkHV2QGSumriCBURSZB2ABqgAma4i6X,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,43.22337,23.0,575.9913888888889,491.0,0.0
1476kyLMvTpReE3vtHvcEYqFF2qFCPU5HL,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.05146787,4.0,0.0,0.0,0.0
bc1p5faufh8zkl0t95k35ty8h7k82gpj50a7rvqt0zpr42z26d3v8awqq08zy7,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.02829179,40.0,52.68990740740741,314.0,0.0
bc1pdcf7cdlf0a9q6c7wfygs485lqj6q2kjfwgtgu4flwpnex7ls5wxsj4xpf3,Miners,3,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.75,0.5,8.294357,37.0,230.67099537037038,363.0,0.0
bc1p9gjld52yn37s9vyjw4m83apyj0z3dsmhffzcjas98u3yyydqfpvscnqm7u,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.25,0.5,0.15506366,24.0,21.303796296296298,563.0,0.0
bc1p50f9pmkexl3gwrndha6gskm3jnzfm7w7erntr7nxrs9290x24dxq9khhnv,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.48180395,17.0,11.9925,401.0,0.08333333333333333
1C4h3xMcmPHRrYjV9XHnJMpt9sCXiKruSD,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,0.6892198,5.0,1.0,688.0,0.0
348NfsnyNrDHa6uAnt6jToCo6SveV2ijec,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.11198445,3.0,0.0,0.0,0.0
bc1qtgjug8mmal3wk8ncvxd2rrmzhuv37759lqv7mm,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.02570879,15.0,1.0,784.0,0.0
bc1pzu4swkl9w4n62fjsqd6p76lcjx6h7uydfjvmmk8q6kt26q6e3v5qn00su5,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.09842301,20.0,1.0,566.0,0.0
